SS,Outcome,Intent,Rating
1,1,1,5
2,1,1,4
3,1,1,3
4,1,1,3
5,1,1,4
6,1,1,5
7,1,1,4
8,1,1,3
9,1,1,3
10,1,1,4
11,1,1,5
12,1,1,4
13,1,1,3
14,1,1,3
15,1,1,4
1,1,2,-4
2,1,2,-3
3,1,2,-2
4,1,2,-5
5,1,2,-3
6,1,2,-4
7,1,2,-3
8,1,2,-2
9,1,2,-5
10,1,2,-3
11,1,2,-4
12,1,2,-3
13,1,2,-2
14,1,2,-5
15,1,2,-3
1,2,1,-3
2,2,1,1
3,2,1,0
4,2,1,-1
5,2,1,-2
6,2,1,-3
7,2,1,1
8,2,1,0
9,2,1,-1
10,2,1,-2
11,2,1,-3
12,2,1,1
13,2,1,0
14,2,1,-1
15,2,1,-2
1,2,2,-3
2,2,2,-3
3,2,2,-4
4,2,2,-5
5,2,2,-3
6,2,2,-3
7,2,2,-3
8,2,2,-4
9,2,2,-5
10,2,2,-3
11,2,2,-3
12,2,2,-3
13,2,2,-4
14,2,2,-5
15,2,2,-3
